,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,3399908,20000000,417,339,0.0674,0.034,0.2941,0.00101,0.16,0.3,2012-01-22,qAKaZJv,"ts_skewness(vec_avg(nws77_event_detection_distance),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,1529178,20000000,1225,1221,0.084,0.0153,0.0846,0.000364,0.16,0.46,2012-01-22,wR8dVJx,"ts_skewness(vec_avg(nws77_document_record_count),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
2,1513106,20000000,1222,1226,0.078,0.0151,0.1018,0.000389,0.15,0.42,2012-01-22,9wzeogo,"ts_skewness(vec_avg(nws77_paragraph_count),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
3,1314573,20000000,989,1086,0.0724,0.0132,0.0933,0.000363,0.14,0.42,2012-01-22,dx2MwnY,"ts_skewness(vec_avg(nws77_composite_sentiment_score),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
4,1457827,20000000,1187,1259,0.0762,0.0146,0.1355,0.000383,0.13,0.37,2012-01-22,9wzeQa2,"ts_skewness(vec_avg(nws77_byte_count),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,1288435,20000000,698,687,0.0837,0.0129,0.0613,0.000308,0.13,0.42,2012-01-22,eOlYJnJ,"ts_skewness(vec_avg(nws77_commentary_sentiment),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
6,1007088,20000000,1220,1223,0.0828,0.0101,0.0752,0.000244,0.12,0.43,2012-01-22,EwZjAk9,"ts_skewness(vec_avg(nws77_document_record_index),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,1285724,20000000,1177,1267,0.0746,0.0129,0.1418,0.000345,0.1,0.32,2012-01-22,RpJOX81,"ts_skewness(vec_avg(nws77_word_count),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
8,1789086,20000000,987,970,0.0868,0.0179,0.857,0.000413,0.03,0.07,2012-01-22,Xpj3qw0,"ts_skewness(vec_avg(nws77_stock_tone_sentiment),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,663165,20000000,1187,1253,0.0775,0.0066,0.1301,0.000171,0.03,0.12,2012-01-22,271gkVP,"ts_skewness(vec_avg(nws77_entity_text_sentiment),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
10,2169732,20000000,937,923,0.082,0.0217,0.857,0.00053,0.03,0.08,2012-01-22,PpJRE6K,"ts_skewness(vec_avg(nws77_corporate_actions_sentiment),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
11,270283,20000000,1108,1100,0.0873,0.0027,0.093,6.2e-05,0.02,0.13,2012-01-22,k3xwRkz,"ts_skewness(vec_avg(nws77_sustainability_sentiment),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
12,503163,20000000,891,959,0.0656,0.005,0.2297,0.000154,0.02,0.08,2012-01-22,AwRp6qR,"ts_skewness(vec_avg(nws77_multi_stock_sentiment),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
13,381059,20000000,1150,1293,0.0801,0.0038,0.0929,9.5e-05,0.02,0.1,2012-01-22,wR8dV7x,"ts_skewness(vec_avg(nws77_entity_text_sent_confidence),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
14,188494,20000000,944,889,0.0709,0.0019,0.0716,5.3e-05,0.01,0.08,2012-01-22,oK1b2Qv,"ts_skewness(vec_avg(nws77_sentiment_impact_projection),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
15,694457,20000000,455,532,0.0914,0.007,1.1687,0.000152,0.0,0.02,2012-01-22,vLKE0gG,"ts_skewness(vec_avg(nws77_interest_rate_sentiment),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
16,-539695,20000000,1186,1255,0.0792,-0.0054,0.3131,-0.000136,-0.01,-0.06,2012-01-22,k3xw5vk,"ts_skewness(vec_avg(nws77_entity_sentiment),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
