,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,18733198,20000000,1369,1448,0.0655,0.1876,0.3742,0.005724,1.08,0.88,2012-01-22,07bZ66r,"ts_skewness(vec_avg(nws3_scores_finhypenormscr),120)",FAIL,PASS,PASS,FAIL,FAIL,PASS,WARNING,WARNING
1,7727754,20000000,1417,1389,0.0873,0.0774,0.5455,0.001773,0.32,0.41,2012-01-22,dx2JvgJ,"ts_skewness(vec_avg(nws3_scores_finvolatilenormscr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,2965217,20000000,1229,1404,0.0459,0.0297,0.7663,0.001295,0.06,0.13,2012-01-22,MpjvV8k,"ts_skewness(vec_avg(nws3_scores_negpartnormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
3,2310755,20000000,1348,1291,0.0494,0.0231,0.3852,0.000937,0.05,0.12,2012-01-22,p6qbZZ3,"ts_skewness(vec_avg(nws3_scores_finhypepartnormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
4,1876956,20000000,1410,1406,0.0628,0.0188,0.664,0.000598,0.03,0.09,2012-01-22,bLY0nnm,"ts_skewness(vec_avg(nws3_scores_finupnormscr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
5,1131283,20000000,1309,1214,0.0491,0.0113,0.5118,0.000461,0.02,0.07,2012-01-22,xxK7W5w,"ts_skewness(vec_avg(nws3_scores_fearnormscr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,1204079,20000000,1293,1343,0.0513,0.0121,0.9226,0.00047,0.01,0.04,2012-01-22,VpvQen0,"ts_skewness(vec_avg(nws3_scores_pospartnormscr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,95563,20000000,1425,1388,0.0787,0.001,0.7969,2.4e-05,0.0,0.01,2012-01-22,WpEr0Jx,"ts_skewness(vec_avg(nws3_scores_findownnormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
8,-1745048,20000000,1310,1329,0.0501,-0.0175,0.7914,-0.000698,-0.03,-0.08,2012-01-22,EwZnLxJ,"ts_skewness(vec_avg(nws3_scores_certaintypartnormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
9,-2420265,20000000,1301,1333,0.046,-0.0242,0.833,-0.001053,-0.05,-0.11,2012-01-22,eOlMEAE,"ts_skewness(vec_avg(nws3_scores_uncertaintypartnormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
10,-2369433,20000000,1410,1406,0.0623,-0.0237,1.0096,-0.000761,-0.06,-0.14,2012-01-22,jZ5kOXe,"ts_skewness(vec_avg(nws3_scores_negnormscr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,-3222550,20000000,1402,1415,0.0596,-0.0323,0.9509,-0.001082,-0.09,-0.17,2012-01-22,Gwqj98O,"ts_skewness(vec_avg(nws3_scores_posnormscr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
12,-4426515,20000000,1422,1395,0.067,-0.0443,0.7086,-0.001324,-0.14,-0.23,2012-01-22,qAK23VK,"ts_skewness(vec_avg(nws3_scores_certaintynormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
13,-5478293,20000000,1309,1294,0.0529,-0.0548,0.822,-0.002072,-0.2,-0.3,2012-01-22,Qa1R6jM,"ts_skewness(vec_avg(nws3_scores_finvolatilepartnormscr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
14,-7026515,20000000,1267,904,0.0395,-0.0703,1.044,-0.003559,-0.29,-0.39,2012-01-22,17q3P0X,"ts_skewness(vec_avg(nws3_scores_fearpartnormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
15,-11160366,20000000,1300,1335,0.0442,-0.1117,1.5837,-0.005057,-0.43,-0.46,2012-01-22,vLK7Pxb,"ts_skewness(vec_avg(nws3_scores_finuppartnormscr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
16,-10027919,20000000,1389,1426,0.0679,-0.1004,1.3697,-0.002959,-0.46,-0.51,2012-01-22,6wn6NxG,"ts_skewness(vec_avg(nws3_scores_uncertaintynormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
17,-22421427,20000000,1254,1363,0.0566,-0.2245,2.3682,-0.007932,-1.5,-1.12,2012-01-22,XpjZeOm,"ts_skewness(vec_avg(nws3_scores_findownpartnormscr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
18,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,KbKAZnz,"ts_skewness(vec_avg(nws3_wqreceivetime),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
