,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,13058732,20000000,232,188,0.0614,0.1307,0.5128,0.00426,0.45,0.44,2012-01-22,g1YlEgQ,"ts_skewness(vec_avg(mws54_eventerinfo_calendarmonth),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
1,7647269,20000000,845,946,0.191,0.0895,0.2293,0.000937,0.38,0.56,2012-01-22,NpXd9q7,"ts_skewness(vec_avg(mws54_futureeventmkt_situation),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,2553052,20000000,814,808,0.1325,0.0428,0.1651,0.000646,0.27,0.48,2012-01-22,6wnWOVp,"ts_skewness(vec_avg(mws54_keydevelopments_headline),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
3,3466354,20000000,452,441,0.0589,0.0356,0.2173,0.001209,0.16,0.3,2012-01-22,Xpj36qm,"ts_skewness(vec_avg(mws54_eventerinfo_fullyearflag),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,1281199,20000000,724,704,0.1251,0.0215,0.0823,0.000344,0.14,0.33,2012-01-22,m8PG9Mp,"ts_skewness(vec_avg(mws54_keydevelopments_situation),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,2225661,20000000,3,3,0.08,0.023,0.558,0.000575,0.05,0.11,2012-01-22,Xpj35Nb,"ts_skewness(vec_avg(mws54_eventcallbasicinfo_cancelledflag),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
6,913717,20000000,788,708,0.1433,0.0094,0.2165,0.000131,0.04,0.15,2012-01-22,ZpR8egZ,"ts_skewness(vec_avg(mws54_eventcallbasicinfo_fiscalquarter),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
7,1983476,20000000,1,1,0.0495,0.0353,0.8928,0.001427,0.04,0.08,2012-01-22,271gb96,"ts_skewness(vec_avg(mws54_eventcallbasicinfo_postponedflag),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,782249,20000000,876,865,0.1682,0.008,0.373,9.5e-05,0.01,0.06,2012-01-22,KbKojv8,"ts_skewness(vec_avg(mws54_eventerinfo_fiscalquarter),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,-1203011,20000000,712,786,0.1226,-0.014,0.275,-0.000229,-0.05,-0.15,2012-01-22,07bVv98,"ts_skewness(vec_avg(mws54_futureeventmkt_headline),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
10,-1968676,20000000,993,1130,0.2023,-0.0232,0.5357,-0.000229,-0.07,-0.21,2012-01-22,RpJOWXz,"ts_skewness(vec_avg(mws54_eventsdaily_situation),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
11,-2217618,20000000,375,434,0.0652,-0.0249,0.6127,-0.000765,-0.09,-0.21,2012-01-22,p6q2AWv,"ts_skewness(vec_avg(mws54_eventerinfo_cancelledflag),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
12,-2793627,20000000,41,30,0.169,-0.028,0.341,-0.000331,-0.13,-0.32,2012-01-22,PpJR9qw,"ts_skewness(vec_avg(mws54_factor),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
13,-812783,20000000,804,972,0.0875,-0.0148,0.1121,-0.000339,-0.14,-0.42,2012-01-22,m8PGMdW,"ts_skewness(vec_avg(mws54_eventerinfo_fiscalyear),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
14,-6695357,20000000,882,1007,0.2319,-0.0815,0.7237,-0.000703,-0.43,-0.73,2012-01-22,AwRpK6g,"ts_skewness(vec_avg(mws54_eventsdaily_headline),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
15,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,EwZjXN9,"ts_skewness(vec_avg(mws54_eventcallbasicinfo_fiscalyear),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
16,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,7wk5Emb,"ts_skewness(vec_avg(mws54_eventerinfo_calendaryear),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
